x,y,z
96.858,20.28,0.4937546
96.858,20.285,0.4936928
96.858,20.29,0.4937496
96.858,20.295,0.4936535
96.858,20.3,0.4935412
96.858,20.305,0.4937043
96.858,20.31,0.493392
96.858,20.315,0.4935122
96.858,20.32,0.4933557
96.858,20.325,0.4933903
96.858,20.33,0.4934233
96.858,20.335,0.4933763
96.858,20.34,0.4931752
96.858,20.345,0.4933228
96.858,20.35,0.4932972
96.858,20.355,0.4931447
96.858,20.36,0.4932551
96.858,20.365,0.4933887
96.858,20.37,0.4929584
96.858,20.375,0.4932164
96.858,20.38,0.493107
96.858,20.385,0.4931447
96.863,20.02,0.4938974
96.863,20.025,0.4936771
96.863,20.03,0.4951186
96.863,20.035,0.4953988
96.863,20.04,0.4954447
96.863,20.045,0.4958459
96.863,20.05,0.4957103
96.863,20.055,0.4957769
96.863,20.06,0.4955931
96.863,20.065,0.4957488
96.863,20.07,0.4954013
96.863,20.075,0.4956329
96.863,20.08,0.495756
96.863,20.085,0.4956453
96.863,20.09,0.495728
96.863,20.095,0.4957175
96.863,20.1,0.4953612
96.863,20.105,0.4951054
96.863,20.11,0.4952882
96.863,20.115,0.495244
96.863,20.12,0.4953708
96.863,20.125,0.4951277
96.863,20.13,0.4949977
96.863,20.135,0.4950766
96.863,20.14,0.4950338
96.863,20.145,0.4948829
96.863,20.15,0.4949279
96.863,20.155,0.4949579
96.863,20.16,0.4950876
96.863,20.165,0.4948978
96.863,20.17,0.4946598
96.863,20.175,0.4948428
96.863,20.18,0.4945924
96.863,20.185,0.4947128
96.863,20.19,0.4944777
96.863,20.195,0.4944464
96.863,20.2,0.4944865
96.863,20.205,0.4944865
96.863,20.21,0.4944383
96.863,20.215,0.4944148
96.863,20.22,0.4942698
96.863,20.225,0.4943132
